RootName,SBE_Utterance_Analysis,AAVE_Utterance_Analysis,AAVE_Utterance_BML,AAVE_Utterance_Phonetics,SBE_wav_name,SBE_wav,AAVE_wav_name,AAVE_wav,NeutralDistinct,AAVEFeatures,Phono,Gesture_Empty,TaskIntro,Monologue,MonologueNumber,Gesture,args,aae_args,Feedback: test,AT: test,Social: test,Task Intro: test,Presentation Mode: test,Science Monologue: test,Social Talk: test,Accountable Talk: test,On-task Sentences: test,Dialect Use: test
CD70,Maybe if his fingers are sticky he can use them too,Maybe if his finger sticky he can use them too,Maybe if his finger sticky he kin use them too,Maybe if his finger sticky he kin use dem too,CD70-s.wav,,CD70-v.wav,x,,copula,,,,,,Alex_maybe_if_their_fingers_are_sticky_they_can_use_them_to,"start=""sp1:start"" end=""sp1:start+4.5""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+2.8' end='sp1:start+3.4'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+1.3' end='sp1:start+2'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+1.3' end='sp1:start+2'","start=""sp1:start"" end=""sp1:start+3.8""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+2.5' end='sp1:start+3.1'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.9' end='sp1:start+1.9'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+.9' end='sp1:start+1.9'",,,,,,,,,,
CD71,Maybe it's good to only move on two feet because then he can use his hands,Maybe it's good to only move on two feet cuz then he can use his hands,Maybe it's good to only move on two feet cuz then he kin use his hands,Maybe i'ss good to only move on two feet cuz dhen he kin use his hands,CD71-s.wav,,CD71-v.wav,x,n,,,,,,,Alex_Maybe_its_good_to_only_move_on_two_feet_because_they_can_use_their_hands,"start=""sp1:start"" end=""sp1:start+5.25""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+4.2' end='sp1:start+4.8'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+2' end='sp1:start+3.3'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+2' end='sp1:start+3.3'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+.1' end='sp1:start+.5'","start=""sp1:start"" end=""sp1:start+5.4""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.9' end='sp1:start+4.8'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+2.3' end='sp1:start+3.3'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+2.3' end='sp1:start+3.3'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.6'",,,,,,,,,,
CD72,"Maybe like his eyes are red so that he looks scarier in the night time, like to scare predators",Maybe like his eyes are red so that he look scarier at night... like to scare predator,Maybe like his eyes are red so that he look scarier at night like to scare predator,Maybe like his eyes are red so dat he look scarier at night... like to scare predator,CD72-s.wav,,CD72-v.wav,x,,copula; verbalS; doubleComp; relativizer; plural,,,,,,Alex_Maybe_like_their_eyes_are_red_so_that_they_can_like_look_scarier,"start=""sp1:start"" end=""sp1:start+6.6""",,,,,,,,,,,
CD73,Maybe the spikes stop the predators from running into him?,Maybe the spikes stop the predators from running into him?,Maybe the spikes stop the  predators from running into him,Maybe the spikes stop de predators from runnin' into 'im?,CD73-s.wav,,CD73-v.wav,x,n,,,,,,,Alex_Maybe_the_spikes_stop_creatures_from_running_into_them,"start=""sp1:start"" end=""sp1:start+4""","start=""sp1:start"" end=""sp1:start+4""",,,,,,,,,,
CD74,Maybe this creature is the one that gets the food and he brings it back to the others?,Maybe this creature the one that get the food and he bring it back to the others?,Maybe this creature the one that get the food and he bring it back to the others?,Maybe dis creature de one dat get de food and he bring it back to de ovhers?,CD74-s.wav,,CD74-v.wav,x,,copula; verbalS; verbalS,,,,,,Alex_maybe_this_group_is_the_one_that_goes_to_get_food_and_the_rest_stay_home,"start=""sp1:start"" end=""sp1:start+5.5""","start=""sp1:start"" end=""sp1:start+5.2""",,,,,,,,,,
CD75,Maybe when animals come he can jump out of the trees and scare them,"Maybe when animals come, he can... jump out of de trees and scare them",Maybe when animals come he kin jump out of the trees and scare them,"Maybe when animals come, he kin... jump out of de trees and scare dem",CD75-s.wav,,CD75-v.wav,x,n,,,,,,,Alex_Maybe_when_animals_come_they_can_jump,"start=""sp1:start"" stroke=""sp1:start+3.2"" end=""sp1:start+6.5""/><face type='FACS' au='2' amount='.4' stroke='sp1:start+4.3' end='sp1:start+4.8'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+2.9' end='sp1:start+3.6'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+2.9' end='sp1:start+3.6'","start=""sp1:start"" stroke=""sp1:start+3.5"" end=""sp1:start+6.3""/><face type='FACS' au='2' amount='.4' stroke='sp1:start+4.5' end='sp1:start+5.3'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+3.1' end='sp1:start+3.8'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+3.1' end='sp1:start+3.8'",,,,,,,,,,
CD76,Some animals only eat plants I think if they're not able to catch other animals,Some animals only eat plants I think... if they ain't able to catch other animals,Some animals only eat plants I think if they ain't able to catch other animals,Some animals only eat plants I fink... if dey ain't able to catch ovher animals,CD76-s.wav,,CD76-v.wav,x,,plural; plural; ain't; plural,,,,,,CD76v,"start=""sp1:start"" end=""sp1:start+6.1""",,,,,,,,,,,
CD77,Some animals use spikes to like feel around,Some animal use spike to like feel around,Some animal use spike to like feel around,Some animal use spike to like feel aroun',CD77-s.wav,,CD77-v.wav,x,,plural; plural,TD,,,,, ,"start=""sp1:start"" end=""sp1:start+4.8""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.6' end='sp1:start+3.6'","start=""sp1:start"" end=""sp1:start+4""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.5' end='sp1:start+3.5'",,,,,,,,,,
CD78,Some other animals mostly go out at night to protect themselves,Some other animal mostly go out at night to protect theyself,Some other animal mostly go out at night to protect they self,Some ovher animal mos'ly go out at night... to protec' dheyself,CD78-s.wav,,CD78-v.wav,x,,plural; theyself,TD,,,,,CD78v,"start=""sp1:start"" end=""sp1:start+5.25""",,,,,,,,,,,
CD79,"The spikes on his back look like almost like a porcupine, but not as sharp","The spike on his back, they look like almost like a porcupine, but not as sharp",The spike on his back they look like almost like a porcupine but not as sharp,"The spike on his back dhey look like almos' like a porcupine, but not as sharp",CD79-s.wav,,CD79-v.wav,x,n?,plural; app,,,,,,Alex_the_spikes_on_their_back_they_look_like,"start=""sp1:start"" end=""sp1:start+6.8""/><face type='FACS' au='2' amount='.35' stroke='sp1:start+.1' end='sp1:start+.5'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+1.5' end='sp1:start+4.3'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+1.5' end='sp1:start+4.3'/><face type='FACS' au='45' amount='1' stroke='sp1:start+5.4' end='sp1:start+5.9'","start=""sp1:start"" end=""sp1:start+6.4""/><face type='FACS' au='2' amount='.35' stroke='sp1:start+.1' end='sp1:start+.5'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+1.5' end='sp1:start+4.3'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+1.5' end='sp1:start+4.3'/><face type='FACS' au='45' amount='1' stroke='sp1:start+5.4' end='sp1:start+5.9'",,,,,,,,,,
CD80,The stripe in his eye I think can help him see at night like in the dark,The stripe in his eye I think can help him see at night like... in the dark,The stripe in his eye I fink kin help him see at night like in the dark,Dhe stripe in his eye I fink kin help him see at night like... in de dark,CD80-s.wav,,CD80-v.wav,x,n,,,,,,,Alex_The_stripe_in_their_eye_I_think_can_help_them_see_at_night_like_in_the_dark,"start=""sp1:start"" end=""sp1:start+5.9""/><face type='FACS' au='45' amount='.4' stroke='sp1:start+1.2' end='sp1:start+2.3'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+1.2' end='sp1:start+2.3'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.5' end='sp1:start+5.2'","start=""sp1:start"" end=""sp1:start+5.8""/><face type='FACS' au='45' amount='.4' stroke='sp1:start+1.2' end='sp1:start+2.3'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+1.2' end='sp1:start+2.3'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.5' end='sp1:start+5.2'",,,,,,,,,,
CD81,There isn't any water around so he probably doesn't swim,It ain't no water around so... he probably don't swim,It ain't no water around so he prolly don't swim,It ain't no water aroun' so... he prolly don't swim,CD81-s.wav,,CD81-v.wav,x,,exIT; ain't; doubleNeg; don't,TD; prolly,,,,,Alex_The_stripe_in_their_eye_I_think_can_help_them_see_at_night_like_in_the_dark,"start=""sp1:start"" end=""sp1:start+4.4""",,,,,,,,,,,
CD82,He has um feet that look like they grip things which can make him good at um,He gots um... feet that look like they grip things which can make him good at... um�,He gots um feet dat look like they grip things which kin make him good at um,He gots um... feet dat look like they grip things which kin make him good at... um�,CD82-s.wav,,CD82-v.wav,x,,gots; relativizer,,,,,,Alex_They_have_um_feet_that_look_like_they_grip_things,"start=""sp1:start"" end=""sp1:start+7.2""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.2' end='sp1:start+1.9'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+1.9'/><face type='FACS' au='45' amount='.45' stroke='sp1:start+5' end='sp1:start+6.3'/><face type='FACS' au='4' amount='.45' stroke='sp1:start+5' end='sp1:start+6.3'","start=""sp1:start"" end=""sp1:start+7.4""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.3' end='sp1:start+1.6'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.3' end='sp1:start+1.6'/><face type='FACS' au='45' amount='.45' stroke='sp1:start+5.1' end='sp1:start+6.7'/><face type='FACS' au='4' amount='.45' stroke='sp1:start+5.1' end='sp1:start+6.7'",,,,,,,,,,
CD83,He kinda looks like a mix of monkeys and,He kinda look like a mix of monkeys... and�,He kinda look like a mix a monkeys and,He kinda look like a mix'a monkeys... and�,CD83-s.wav,,CD83-v.wav,x,,verbalS,,,,,,Alex_They_kinda_look_like_a_mix_of_monkeys_and,"start=""sp1:start"" end=""sp1:start+4.8""/><face type='FACS' au='2' amount='.2' stroke='sp1:start+.3' end='sp1:start+.7'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+1.6' end='sp1:start+4.5'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+1.6' end='sp1:start+4.5'","start=""sp1:start"" end=""sp1:start+4.6""/><face type='FACS' au='2' amount='.2' stroke='sp1:start+.1' end='sp1:start+.9'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+1.5' end='sp1:start+4.5'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+1.5' end='sp1:start+4.5'",,,,,,,,,,
CD84,"We talked about animals in school before, but not ones that looked like this","We talk about animals in school before, but ain't none of 'em look like dis",We talk about animals in school before but ain't none of 'em look like this,"We talk about animals in school before, but ain't none of 'em look like dis",CD84-s.wav,,CD84-v.wav,,,ain't; doubleNeg,,,1,,,Alex_We_talked_about_animals_in_school_before_but_not_ones_that_looked_like_these,"start=""sp1:start"" end=""sp1:start+5.4""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.3' end='sp1:start+5'","start=""sp1:start"" end=""sp1:start+5.7""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.2' end='sp1:start+4.2' ",,,,,,,,,,
CD85,What do you think attacks him?,What you think attack him?,Whatchu fink attack him,Whatchu fink attack him?,CD85-s.wav,,CD85-v.wav,x,,verbalS,whatchu,,,,,Alex_What_do_you_think_attacks_them,"start=""sp1:start"" end=""sp1:start+1.9""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+1.4'","start=""sp1:start"" end=""sp1:start+1.7""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+1.4'",,,,,,,,,,
CD86,What do you think those spikes are for?,What you think those spike for?,Whatchu fink dose spike for,Whatchu fink dhose spike for?,CD86-s.wav,,CD86-v.wav,x,,plural; copula,whatchu,,1,,,Alex_What_do_you_think_their_spikes_are_for,"start=""sp1:start"" end=""sp1:start+2.5""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0.3' end='sp1:start+1.6'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0.3' end='sp1:start+1.6'","start=""sp1:start"" end=""sp1:start+1.95""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0.3' end='sp1:start+1.6'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0.3' end='sp1:start+1.6'",,,,,,,,,,
CD87,What if he cant catch the bunnies?,What if he can't catch no bunny?,What if he can't catch no bunny,What if he can't catch no bunny?,CD87-s.wav,,CD87-v.wav,x,,doubleNeg; plural?,,,,,,Alex_What_if_they_cant_catch_the_bunnies,"start=""sp1:start"" end=""sp1:start+2.4""/><face type='FACS' au='2' amount='0.4' stroke='sp1:start+0' end='sp1:start+1.3'","start=""sp1:start"" end=""sp1:start+2.25""/><face type='FACS' au='2' amount='0.4' stroke='sp1:start+0' end='sp1:start+1'",,,,,,,,,,
CD88,"What if he goes around mostly at night so he can um, camouflage?",What if he be going around mostly at night so he can uh... camouflage?,What if he be going around mostly at night so he can uh camoflauge?,What if he be goin' aroun' mos'ly at night so he can uh... camouflage?,CD88-s.wav,,CD88-v.wav,x,,be,TD,,,,,CD88v,"start=""sp1:start"" end=""sp1:start+5.1""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.3' end='sp1:start+4.5'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+2' end='sp1:start+2.9'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+2' end='sp1:start+2.9'",/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.5' end='sp1:start+4.4'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+1.9' end='sp1:start+3.45'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+1.9' end='sp1:start+3.45',,,,,,,,,,
CD89,"What if he isn't sharp enough to protect himself from the bigger or, um, spikier animals?","What if� he ain't sharp enough to protect hisself from the bigger or uh, spikier animal?",What if he ain't sharp enough to protect his self from the bigger or uh spikier animal?,"What if� he ain't sharp enough to protec' hisself from the bigger or uh, spikier animal?",CD89-s.wav,,CD89-v.wav,x,,ain't; hisself; plural,TD,,,,,Alex_Maybe_theyre_attacked_by_creatures_that_are_even_bigger_even_spikier,"start=""sp1:start+1"" end=""sp1:start+6.9""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.7' end='sp1:start+4.1'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+5' end='sp1:start+6'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+4.1' end='sp1:start+4.9'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+4.1' end='sp1:start+4.9'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+0' end='sp1:start+2'","start=""sp1:start+1"" end=""sp1:start+6.55""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.7' end='sp1:start+4.1'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+5.2' end='sp1:start+6.1'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+4.2' end='sp1:start+4.9'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+4.2' end='sp1:start+4.9'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+0' end='sp1:start+2'",,,,,,,,,,
CD90,What if he like uses his horns to dig out food from the ground?,What if he like use his horn to dig out food from the ground?,What if he like use his horn to dig out food from the ground,What if he like use his horn to dig out food from dhe groun'?,CD90-s.wav,,CD90-v.wav,x,,verbalS; plural,TD,,,,,Alex_What_if_they_like_use_their_horns_to_dig_out_food_from_the_ground,"start=""sp1:start"" end=""sp1:start+5.4""/><face type='FACS' au='4' amount='0.3' start='sp1:start+0' end='sp1:start+.8'/><face type='FACS' au='45' amount='0.3' start='sp1:start+0' end='sp1:start+.8'","start=""sp1:start"" end=""sp1:start+4.85""/><face type='FACS' au='4' amount='0.3' start='sp1:start+0' end='sp1:start+.8'/><face type='FACS' au='45' amount='0.3' start='sp1:start+0' end='sp1:start+.8'",,,,,,,,,,
CD91,What if he runs out of all of the worms?,What if he run out of all of the worm?,What if he run out of all of the worm?,What if he run out of all of dhe worm?,CD91-s.wav,,CD91-v.wav,x,,verbalS; plural,,,,,,CD91v,"start=""sp1:start"" end=""sp1:start+4.1""/><face type='FACS' au='4' amount='0.3' start='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='45' amount='0.3' start='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='2' amount='0.3' start='sp1:start+2.9' end='sp1:start+3.6'",/><face type='FACS' au='4' amount='0.3' start='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='45' amount='0.3' start='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='2' amount='0.3' start='sp1:start+2.6' end='sp1:start+3.2',,,,,,,,,,
CD92,What if he's able to just get the bunnies when they're sleeping?,What if he able to just get the bunnies when they sleeping?,What if he able to jus get the bunnies when they sleeping?,What if he able to jus' get de bunnies when dhey sleepin'?,CD92-s.wav,,CD92-v.wav,x,,copula; copula,NG,,,,,CD92v,"start=""sp1:start"" end=""sp1:start+3.71""/><face type='FACS' au='4' amount='0.3' start='sp1:start+2.6' end='sp1:start+3.3'/><face type='FACS' au='45' amount='0.3' start='sp1:start+2.6' end='sp1:start+3.3'/><face type='FACS' au='2' amount='0.3' start='sp1:start+.1' end='sp1:start+1'",/><face type='FACS' au='4' amount='0.3' start='sp1:start+2.4' end='sp1:start+3.1'/><face type='FACS' au='45' amount='0.3' start='sp1:start+2.4' end='sp1:start+3.1'/><face type='FACS' au='2' amount='0.3' start='sp1:start+.1' end='sp1:start+1',,,,,,,,,,
CD93,What if his spikes are too small to be dangerous?,What if his spike too small to be dangerous?,What if his spike too small to be dangerous,What if his spike too small to be dangerous?,CD93-s.wav,,CD93-v.wav,x,,copula,,,,,,Alex_Maybe_the_spikes_are_too_small_to_be_dangerous,"start=""sp1:start"" end=""sp1:start+2.8""","start=""sp1:start"" end=""sp1:start+2.6""",,,,,,,,,,
CD94,What if the bunnies are too fast for him to catch?,What if the bunnies are too fast for him to catch?,What if the bunnies are too fast for him to catch?,What if dhe bunnies too fas' for him to catch?,CD94-s.wav,,CD94-v.wav,SF,,copula,TD,,,,,Alex_Like_what_if_the_bunnies_are_too_fast_for_the_creatures_to_catch,"start=""sp1:start"" end=""sp1:start+3.4""/><face type='FACS' au='2' amount='0.3' start='sp1:start+2.3' end='sp1:start+2.8'/><face type='FACS' au='4' amount='0.4' start='sp1:start+1.2' end='sp1:start+2.1'/><face type='FACS' au='45' amount='0.3' start='sp1:start+1.2' end='sp1:start+2.1'","start=""sp1:start"" end=""sp1:start+3.4""/><face type='FACS' au='2' amount='0.3' start='sp1:start+2.3' end='sp1:start+2.8'/><face type='FACS' au='4' amount='0.4' start='sp1:start+1.2' end='sp1:start+2.1'/><face type='FACS' au='45' amount='0.3' start='sp1:start+1.2' end='sp1:start+2.1'",,,,,,,,,,
CD95,What sortsa food do you think he can eat?,What sortsa food do you think he can eat?,What sortsa food do you fink he can eat?,What sortsa food do you fink he can eat?,CD95-s.wav,,CD95-v.wav,SF,n,,,,1,,,Alex_What_sorsta_food_do_you_think_he_can_eat,"start=""sp1:start"" end=""sp1:start+2.62""/><face type='FACS' au='2' amount='0.3' start='sp1:start+1.5' end='sp1:start+2.2'/><face type='FACS' au='45' amount='0.3' start='sp1:start+.6' end='sp1:start+1.2'/><face type='FACS' au='4' amount='0.3' start='sp1:start+.6' end='sp1:start+1.2'","start=""sp1:start"" end=""sp1:start+2.95""/><face type='FACS' au='2' amount='0.3' start='sp1:start+1.9' end='sp1:start+2.4'/><face type='FACS' au='45' amount='0.3' start='sp1:start+.6' end='sp1:start+1.5'/><face type='FACS' au='4' amount='0.3' start='sp1:start+.6' end='sp1:start+1.5'",,,,,,,,,,
CD96,Where do you think he sleeps?,Where do you think he sleep?,Where do you think he sleep?,Where you fink he sleep?,CD96-s.wav,,CD96-v.wav,SF,,verbalS,,,,,,CD96v,"start=""sp1:start"" end=""sp1:start+2.1""/><face type='FACS' au='45' amount='0.3' start='sp1:start+.3' end='sp1:start+1.5'/><face type='FACS' au='4' amount='0.3' start='sp1:start+.3' end='sp1:start+1.5'",/><face type='FACS' au='45' amount='0.3' start='sp1:start+.1' end='sp1:start+1.3'/><face type='FACS' au='4' amount='0.3' start='sp1:start+.1' end='sp1:start+1.3',,,,,,,,,,
CD97,Why do you think he has that stripe in his eye?,Why do you think he got that stripe in his eye?,Why do you think he got that stripe in his eye?,Why you fink he got dat stripe in his eye?,CD97-s.wav,,CD97-v.wav,SF,,got,,,,,,Alex_Why_do_you_think_they_have_that_stripe_in_their_eye,"start=""sp1:start"" end=""sp1:start+2.9""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+0' end='sp1:start+2.15'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+2.15'","start=""sp1:start"" end=""sp1:start+2.9""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+0' end='sp1:start+2.15'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+2.15'",,,,,,,,,,
CD98,Yeah he's pretty weird,Yeah he pretty weird,Yeah he pretty weird,Yeah he pretty weird,CD98-s.wav,,CD98-v.wav,SF,,copula,,,,,,CD98v,"start=""sp1:start"" end=""sp1:start+2""/><face type='FACS' au='45' amount='0.3' start='sp1:start+1.2' end='sp1:start+1.8'/><face type='FACS' au='4' amount='0.3' start='sp1:start+1.2' end='sp1:start+1.8'",/><face type='FACS' au='45' amount='0.3' start='sp1:start+.7' end='sp1:start+1.4'/><face type='FACS' au='4' amount='0.3' start='sp1:start+.7' end='sp1:start+1.4',,,,,,,,,,
CD99,Yeah like apples,Yeah like apples,Yeah like apples,Yeah like apples,CD99-s.wav,,CD99-v.wav,SF,n,,,,,,,CD100v,"start=""sp1:start"" end=""sp1:start+1.89""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1' end='sp1:start+1.6'","start=""sp1:start"" end=""sp1:start+1.3""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+.9' end='sp1:start+1.3'",,,,,,,,,,
CD100,Yeah like bears,Yeah like bears,Yeah like bears,Yeah like bears,CD100-s.wav,,CD100-v.wav,SF,n,,,,,,,CD100v,"start=""sp1:start"" end=""sp1:start+2.5""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.6' end='sp1:start+2.1'",/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.6' end='sp1:start+2.1',,,,,,,,,,
CD101,Yeah like geckos,Yeah like geckos,Yeah like geckos,Yeah like geckos,CD101-s.wav,,CD101-v.wav,SF,n,,,,,,,CD100v,"start=""sp1:start"" end=""sp1:start+2.1""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.6'","start=""sp1:start"" end=""sp1:start+2.1""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.6'",,,,,,,,,,
CD102,Yeah like leaves,Yeah like leaves,Yeah like leaves,Yeah like leaves,CD102-s.wav,,CD102-v.wav,SF,n,,,,,,,CD100v,"start=""sp1:start"" end=""sp1:start+2.9""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.6'",/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.6',,,,,,,,,,
CD103,Yeah like monkeys,Yeah like monkeys,Yeah like monkeys,Yeah like monkeys,CD103-s.wav,,CD103-v.wav,SF,n,,,,,,,CD101v,"start=""sp1:start"" end=""sp1:start+2.5""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.6' end='sp1:start+2.1'",/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.6' end='sp1:start+2.1',,,,,,,,,,
CD104,Yeah like really big animals,Yeah like real big animals,Yeah like real big animals,Yeah like real big animals,CD104-s.wav,,CD104-v.wav,SF,n,,,,,,,CD100v,"start=""sp1:start"" end=""sp1:start+3.4""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.5' end='sp1:start+2'","start=""sp1:start"" end=""sp1:start+3.3""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.7' end='sp1:start+2.2'",,,,,,,,,,
CD105,Yeah like worms and mushrooms,Yeah like worms and mushrooms,Yeah like worms and mushrooms,Yeah like worms and mushrooms,CD105-s.wav,,CD105-v.wav,SF,n,,,,,,,CD105v,"start=""sp1:start"" end=""sp1:start+5.5""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.5'",/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.5',,,,,,,,,,
CD106,Yeah or um bears lions,Yeah or um bears lions,Yeah or um bears lions,Yeah or um bears lions,CD106-s.wav,,CD106-v.wav,SF,n,,,,,,,CD106v,"start=""sp1:start"" end=""sp1:start+5.9""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4' end='sp1:start+5.3'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.9' end='sp1:start+5.1',,,,,,,,,,
CD107,Yeah to help him hunt,Yeah to help him hunt,Yeah to help him hunt,Yeah to he'p him hunt,CD107-s.wav,,CD107-v.wav,SF,n,,,,,,,CD100v,"start=""sp1:start"" end=""sp1:start+1.75""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.6'",/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.6',,,,,,,,,,
CD108,Yeah to help him protect himself,Yeah to help him protect hisself,Yeah to help him protect his self,Yeah to he'p him protec' hisself,CD108-s.wav,,CD108-v.wav,SF,n?,hisself,,,,,,Alex_Yeah_to_help_them_protect_themselves,"start=""sp1:start"" end=""sp1:start+2.7""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+.0' end='sp1:start+.9'","start=""sp1:start"" end=""sp1:start+2.75""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+.0' end='sp1:start+.9'",,,,,,,,,,
CD109,I think we need to figure out how the creature like eats and moves around and stuff,I fink we need to figure out how do the creature like eat and move around and stuff,I fink we need to figure out how do the creature like eat and move around and stuff,I fink we need to figure out how do dhe creature like eat and move aroun' and stuff,CD109-s.wav,,CD109-v.wav,SF,,question; do,,,1,,,CD109v,"start=""sp1:start"" end=""sp1:start+9.4""/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+.3' end='sp1:start+3.5'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.3' end='sp1:start+3.5'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+5' end='sp1:start+7.9'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+8' end='sp1:start+8.5'/><face type='FACS' au='45' amount='0.2' stroke='sp1:start+8' end='sp1:start+8.5'",/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+.3' end='sp1:start+3.5'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.3' end='sp1:start+3.5'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+4.5' end='sp1:start+5.9'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+6.2' end='sp1:start+6.8'/><face type='FACS' au='45' amount='0.2' stroke='sp1:start+6.2' end='sp1:start+6.8',,,,,,,,,,
